AREA NAME,Year,crime_category_v2,count
Topanga,2023,VEHICLE_CRIME,700
Topanga,2023,VIOLENT_CRIME,2366
Topanga,2024,OTHER,212
Topanga,2024,PROPERTY_CRIME,2300
Topanga,2024,SEXUAL_CRIME,88
Topanga,2024,VANDALISM,293
Topanga,2024,VEHICLE_CRIME,462
Topanga,2024,VIOLENT_CRIME,739
Van Nuys,2020,OTHER,637
Van Nuys,2020,PROPERTY_CRIME,3972
Van Nuys,2020,SEXUAL_CRIME,201
Van Nuys,2020,VANDALISM,841
Van Nuys,2020,VEHICLE_CRIME,915
Van Nuys,2020,VIOLENT_CRIME,2178
Van Nuys,2021,OTHER,601
Van Nuys,2021,PROPERTY_CRIME,3990
Van Nuys,2021,SEXUAL_CRIME,236
Van Nuys,2021,VANDALISM,822
Van Nuys,2021,VEHICLE_CRIME,942
Van Nuys,2021,VIOLENT_CRIME,2050
Van Nuys,2022,OTHER,628
Van Nuys,2022,PROPERTY_CRIME,4680
Van Nuys,2022,SEXUAL_CRIME,239
Van Nuys,2022,VANDALISM,848
Van Nuys,2022,VEHICLE_CRIME,957
Van Nuys,2022,VIOLENT_CRIME,2356
Van Nuys,2023,OTHER,725
Van Nuys,2023,PROPERTY_CRIME,4811
Van Nuys,2023,SEXUAL_CRIME,203
Van Nuys,2023,VANDALISM,807
Van Nuys,2023,VEHICLE_CRIME,1015
Van Nuys,2023,VIOLENT_CRIME,2363
Van Nuys,2024,OTHER,217
Van Nuys,2024,PROPERTY_CRIME,2151
Van Nuys,2024,SEXUAL_CRIME,71
Van Nuys,2024,VANDALISM,348
Van Nuys,2024,VEHICLE_CRIME,615
Van Nuys,2024,VIOLENT_CRIME,768
West LA,2020,OTHER,666
West LA,2020,PROPERTY_CRIME,5310
West LA,2020,SEXUAL_CRIME,282
West LA,2020,VANDALISM,758
West LA,2020,VEHICLE_CRIME,675
West LA,2020,VIOLENT_CRIME,1604
West LA,2021,OTHER,598
West LA,2021,PROPERTY_CRIME,5476
West LA,2021,SEXUAL_CRIME,285
West LA,2021,VANDALISM,988
West LA,2021,VEHICLE_CRIME,734
West LA,2021,VIOLENT_CRIME,1779
West LA,2022,OTHER,697
West LA,2022,PROPERTY_CRIME,6119
West LA,2022,SEXUAL_CRIME,253
West LA,2022,VANDALISM,863
West LA,2022,VEHICLE_CRIME,821
West LA,2022,VIOLENT_CRIME,1749
West LA,2023,OTHER,618
West LA,2023,PROPERTY_CRIME,6408
West LA,2023,SEXUAL_CRIME,263
West LA,2023,VANDALISM,876
West LA,2023,VEHICLE_CRIME,760
West LA,2023,VIOLENT_CRIME,1648
West LA,2024,OTHER,158
West LA,2024,PROPERTY_CRIME,2464
West LA,2024,SEXUAL_CRIME,86
West LA,2024,VANDALISM,324
West LA,2024,VEHICLE_CRIME,354
West LA,2024,VIOLENT_CRIME,362
West Valley,2020,OTHER,608
West Valley,2020,PROPERTY_CRIME,3549
West Valley,2020,SEXUAL_CRIME,270
West Valley,2020,VANDALISM,723
West Valley,2020,VEHICLE_CRIME,794
West Valley,2020,VIOLENT_CRIME,2132
West Valley,2021,OTHER,661
West Valley,2021,PROPERTY_CRIME,3693
West Valley,2021,SEXUAL_CRIME,265
West Valley,2021,VANDALISM,812
West Valley,2021,VEHICLE_CRIME,880
West Valley,2021,VIOLENT_CRIME,2205
West Valley,2022,OTHER,783
West Valley,2022,PROPERTY_CRIME,4798
West Valley,2022,SEXUAL_CRIME,272
West Valley,2022,VANDALISM,769
West Valley,2022,VEHICLE_CRIME,1039
West Valley,2022,VIOLENT_CRIME,2615
West Valley,2023,OTHER,891
West Valley,2023,PROPERTY_CRIME,4506
West Valley,2023,SEXUAL_CRIME,235
West Valley,2023,VANDALISM,696
West Valley,2023,VEHICLE_CRIME,936
West Valley,2023,VIOLENT_CRIME,2657
West Valley,2024,OTHER,224
West Valley,2024,PROPERTY_CRIME,1923
West Valley,2024,SEXUAL_CRIME,72
West Valley,2024,VANDALISM,295
West Valley,2024,VEHICLE_CRIME,564
West Valley,2024,VIOLENT_CRIME,916
Wilshire,2020,OTHER,666
Wilshire,2020,PROPERTY_CRIME,4345
Wilshire,2020,SEXUAL_CRIME,266
Wilshire,2020,VANDALISM,857
Wilshire,2020,VEHICLE_CRIME,680
Wilshire,2020,VIOLENT_CRIME,2429
Wilshire,2021,OTHER,702
Wilshire,2021,PROPERTY_CRIME,4414
Wilshire,2021,SEXUAL_CRIME,288
